,0
0,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
1,达多多_商品总体销量历史_ 【39.9一大箱130小包】辣卤零食礼盒盐津铺子18种大礼包休闲解馋
2,达多多_商品总体销量历史_0添加蔗糖冰皮绿豆饼新鲜发货配送网红早餐精选传统老式美味糕点
3,达多多_商品总体销量历史_400g三蒸带皮红薯干真空独立装带皮香薯干地瓜干番薯干代餐零食
4,达多多_商品总体销量历史_5月份【9.88发20瓶】严选A+益生元优质进口早餐风味饮品100ml_20瓶
5,达多多_商品总体销量历史_7袋零食大礼包网红手工小麻花锅巴拉面丸子一整箱便宜批发方便
6,达多多_商品总体销量历史_8.8抢1斤【爆款福利】 酸砂爆浆涂油水果味橡皮糖混搭软糖解馋零食
7,达多多_商品总体销量历史_Budweiser_百威红罐255ml_24罐商城热卖醇香发酵啤酒甄选
8,达多多_商品总体销量历史_Chen A Bing_陈阿炳风干鸭锁骨鸭架解馋小零食即食休闲办公室小吃
9,达多多_商品总体销量历史_HIDOLLY_百多利315ml_8瓶清爽老冰棍汽水饮料冰爽儿时味道解暑-T
10,达多多_商品总体销量历史_KISS PEARL无糖薄荷压片糖清新口气清爽香甜美味14g_5盒 XY
11,达多多_商品总体销量历史_SYS_薯芋薯闽南网红童年儿时三明治面包怀旧夹心吐司早餐面包老式
12,达多多_商品总体销量历史_[5.99发30包] 魔芋爽素毛肚香辣酸辣休闲小吃辣条网红零食非豆干
13,达多多_商品总体销量历史_[9块9约26袋]刺猬阿甘 坚果蛋糕干3种口味腰果巴旦木椰片薄脆饼干
14,达多多_商品总体销量历史_{买5包送2包}韩式火鸡面拌面爆辣夜宵泡面秘制速食营养方便面_7包
15,达多多_商品总体销量历史_※50个仅需3.99！巧遇心蒟蒻果冻低卡0脂肪果汁添加实惠装儿童零食
16,达多多_商品总体销量历史_【0卡0蔗糖蒟蒻果冻】盐津铺子蒟蒻果冻果汁0脂0色素零食可吸果冻
17,达多多_商品总体销量历史_【0脂肪 0蔗糖添加】不集日式关东煮调味料寿喜火锅底料便利店同款
18,达多多_商品总体销量历史_【0蔗糖添加】不集轻食蔬菜沙拉酱水果芝麻酱奇亚籽沙拉汁250g_瓶
19,达多多_商品总体销量历史_【110包19.9元】盐津铺子手撕肉脯靖江高蛋白肉干休闲小零食网红
20,达多多_商品总体销量历史_【12包24片_仅6.9】红豆吐司美味精选早餐整箱代餐下午茶办公室零食
21,达多多_商品总体销量历史_【12包】盐焗巴旦木仁NP级杏仁坚果零食每日坚果大颗粒饱满酥脆营养
22,达多多_商品总体销量历史_【13.9_五斤一袋】东北玉米面条鲜面条低脂粗粮半干鲜面面条低脂肪
23,达多多_商品总体销量历史_【15个到手19.9】比比赞牛乳千层魔方吐司手撕面包营养健康早餐SW
24,达多多_商品总体销量历史_【18个仅19.9】比比赞水牛乳千层吐司面包手撕早餐糕点心零食小吃SW
25,达多多_商品总体销量历史_【19.8_28根】乳清威化蛋白棒美食美味代餐营养零食品高纤饱腹威化
26,达多多_商品总体销量历史_【19.9_50包】盐津铺子大魔王麻酱素毛肚六必居魔芋丝魔芋爽零食
27,达多多_商品总体销量历史_【19.9元15根】亲零嘴风干烤脖氮气解馋香辣味酱卤零食新鲜卤香
28,达多多_商品总体销量历史_【19.9到手63根】三只松鼠口袋海鲜_鳕鱼肠小吃零食即食食品dy
29,达多多_商品总体销量历史_【19.9到手80根】三只松鼠牛乳沙琪玛700g奶香早餐糕点小吃零食dy
30,达多多_商品总体销量历史_【19.9到手一大袋内含76小袋】三只松鼠_辣卤礼包荤素搭配混合装dy
31,达多多_商品总体销量历史_【19.9约100粒】三只松鼠_量贩袋装_西梅_508g零食健康dy
32,达多多_商品总体销量历史_【1包50g装】云南七彩菌汤包羊肚菌鹿茸菇虫草花菌菇汤包炖鸡鸭煲汤
33,达多多_商品总体销量历史_【20包_40粒】金磨坊拇指肠台式烤肠即食小香肠火腿肠肉枣零食散装
34,达多多_商品总体销量历史_【20包仅8.9包邮】鲜嫩盐焗翅鸭翅中入味卤味即食零食 支持试吃一包
35,达多多_商品总体销量历史_【24k年味】手工花生麻枣蓼花糖麻粩雪枣年货非遗小吃零食糕点250g
36,达多多_商品总体销量历史_【24小时内发】泓一奇亚籽黑麦全麦吐司切片面包整箱代餐零食糕点S
37,达多多_商品总体销量历史_【25支】双汇火腿肠烧烤肠解馋零食火腿肠油炸香肠蒸煮肉香淀粉肠
38,达多多_商品总体销量历史_【26.9抢10斤】东北香稻贡米新大米5kg优质黑土地香甜软糯真空锁鲜
39,达多多_商品总体销量历史_【2包_9.9元】长沙香辣魔芋干100g麻辣魔芋爽劲道解馋开袋即食零食
40,达多多_商品总体销量历史_【2瓶7.99元】烧椒酱炭烤辣椒酱拌面条夹馍皮蛋青椒酱剁椒酱下饭菜
41,达多多_商品总体销量历史_【3.99_130颗】网红水果味无糖薄荷糖散装混合口味清新口气唐糖色变
42,达多多_商品总体销量历史_【3.99发15包】辣白菜味辣条大礼包8090儿时怀旧麻辣零食小吃一整箱
43,达多多_商品总体销量历史_【3.9元20袋】老味发面王酵母粉高活性发面宝多用型馒头包子酵母粉
44,达多多_商品总体销量历史_【30个9.99】山药硬脆沙琪玛老式琪玛酥米花糖儿时芝麻特产糕点零食
45,达多多_商品总体销量历史_【30包9.9】盐津铺子手撕素肉素牛排网红零食休闲食品香辣小零食9g
46,达多多_商品总体销量历史_【30包仅5.9】香睿熊巴旦木瓜子仁酥葵花籽瓜子酥混合坚果美味零食
47,达多多_商品总体销量历史_【30包仅需3.9】紫薯干水晶紫薯仔地瓜干解馋休闲办公室小吃零食
48,达多多_商品总体销量历史_【30颗仅9.9元】盐津铺子鹌鹑蛋盐焗卤蛋香卤即食休闲解馋零食好吃
49,达多多_商品总体销量历史_【3包到手5.9】盐津陈皮酸甜陈皮丝橘皮即食果脯蜜饯零食
50,达多多_商品总体销量历史_【3袋仅9.9元】泰式风味汁网红柠檬鸡爪酸辣凤爪调料100g多种入味
51,达多多_商品总体销量历史_【4.9发3袋】网红蜜汁香辣鳕鱼皮办公室解馋鱼干即食小吃零食鱼皮
52,达多多_商品总体销量历史_【4.9抢一箱】礼盒装岩烧芝士饼干休闲酥脆薄脆浓郁零食好吃风味
53,达多多_商品总体销量历史_【400g】农家带皮红薯干小香薯干软糯代餐粗粮7-12根左右
54,达多多_商品总体销量历史_【40片9.9】奇亚籽全麦面包吐司早餐整箱低脂零食小吃休闲食品饱腹
55,达多多_商品总体销量历史_【4盒装】西小豆椰香不辣咖喱块80g_盒 泰式风味 全家爱吃 方便美味
56,达多多_商品总体销量历史_【4罐装】新花金丝皇菊菊花茶新花花草茶罐装6669
57,达多多_商品总体销量历史_【5.99元_20包】喜盈盈鲜虾片 好吃的追剧六一零食推荐网红整箱ad1 
58,达多多_商品总体销量历史_【50根仅19.9】盐津铺子脆骨小香肠肉枣脆皮肠火腿肠鸡肉肠休闲零食
59,达多多_商品总体销量历史_【5L大桶】添加橄榄油食用油5升植物调和油家庭营养清香煎炸炒菜油
60,达多多_商品总体销量历史_【6.99到手2瓶】麦宝乐牛肉酱下饭香辣蘸酱拌饭酱调味酱地道美味
61,达多多_商品总体销量历史_【618抢先购】五谷磨房营养方便健康核桃芝麻黑豆粉（546g_罐）ZB
62,达多多_商品总体销量历史_【618抢先购】陈薯纯红薯粉黑金版酸辣粉126.5g_6桶代餐饱腹香辣
63,达多多_商品总体销量历史_【63颗19.9元】三只松鼠_多味鹌鹑蛋盐焗卤味开袋即食独立包装dy
64,达多多_商品总体销量历史_【64颗19.9元】三只松鼠_多味鹌鹑蛋盐焗卤味开袋即食独立包装dy
65,达多多_商品总体销量历史_【64颗鹌鹑蛋】4种口味盐津铺子盐焗卤蛋香卤即食休闲解馋网红零食
66,达多多_商品总体销量历史_【70包仅19.9】盐津铺子一半是肉辣卤零食大礼包追剧零食组合
67,达多多_商品总体销量历史_【70包仅19.9】盐津铺子魔芋丝魔芋爽香辣好吃脆爽休闲解馋零食
68,达多多_商品总体销量历史_【70根仅19.9】盐津铺子深海鳕鱼肠六一儿童节营养休闲零食8g_70根
69,达多多_商品总体销量历史_【8.8元6杯】花蜜家便携杯装藕粉羹营养早餐冲泡代餐饱腹速溶饮料HM
70,达多多_商品总体销量历史_【80克_10个】酥上煌蛋月烧蛋糕月饼晋式传统烘烤糕点面包即食早餐
