日期,销量,浏览量,转化率,视频个数,直播个数,热推达人数,filename
20240301,1000~2500,6737,15%~20%,358,27,125,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240302,1000~2500,8479,20%~25%,328,23,128,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240303,2500~5000,15800,30%+,316,25,159,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240304,2500~5000,8557,25%~30%,295,32,135,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240305,2500~5000,9102,30%+,304,22,126,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240306,2500~5000,10005,30%+,256,24,149,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240307,1000~2500,6855,25%~30%,254,27,137,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240308,1000~2500,5633,25%~30%,182,27,110,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240309,2500~5000,11070,25%~30%,208,28,126,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240310,1000~2500,7818,20%~25%,206,23,156,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240311,1000~2500,7012,20%~25%,171,31,132,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240312,1000~2500,5898,20%~25%,186,33,150,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240313,1000~2500,6103,25%~30%,144,30,149,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240314,1000~2500,6376,20%~25%,151,29,179,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240315,1000~2500,6524,20%~25%,154,32,151,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240316,5000~7500,22082,20%~25%,129,30,931,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240317,5000~7500,22103,25%~30%,130,29,1208,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240318,2500~5000,11659,20%~25%,163,37,1636,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240319,2500~5000,12782,25%~30%,173,38,1206,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240320,2500~5000,12698,25%~30%,183,35,1278,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240321,2500~5000,14764,20%~25%,198,43,813,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240322,2500~5000,11765,20%~25%,240,36,1117,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240323,5000~7500,15164,30%+,295,39,1139,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240324,2500~5000,11702,25%~30%,309,33,1218,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240325,1000~2500,8401,20%~25%,315,35,1302,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240326,1000~2500,8588,15%~20%,314,38,768,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240327,1000~2500,6598,15%~20%,324,42,1149,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240328,750~1000,6525,10%~15%,345,38,1200,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240329,500~750,4547,10%~15%,332,30,756,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240330,500~750,3601,15%~20%,322,29,814,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240331,500~750,3488,20%~25%,330,31,877,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240401,750~1000,2947,30%+,288,26,644,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240402,500~750,2385,25%~30%,299,23,793,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240403,250~500,2831,15%~20%,311,21,704,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240404,750~1000,4025,15%~20%,284,21,774,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240405,750~1000,6525,15%~20%,261,29,634,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240406,1000~2500,7875,15%~20%,222,33,693,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240407,1000~2500,9051,15%~20%,194,35,1020,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240408,1000~2500,11166,15%~20%,196,35,808,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240409,1000~2500,11281,15%~20%,177,28,1018,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240410,1000~2500,13128,15%~20%,150,23,1293,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240411,1000~2500,13613,10%~15%,141,25,1040,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240412,1000~2500,13020,10%~15%,128,20,884,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240413,1000~2500,12820,15%~20%,122,19,795,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240414,2500~5000,17775,15%~20%,107,26,881,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240415,1000~2500,13414,15%~20%,86,32,968,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240416,1000~2500,10168,15%~20%,94,26,956,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240417,1000~2500,7594,15%~20%,90,24,796,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240418,1000~2500,7779,15%~20%,84,20,584,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240419,1000~2500,8092,15%~20%,74,32,510,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240420,1000~2500,9963,15%~20%,59,31,481,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240421,1000~2500,8523,20%~25%,56,39,669,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240422,1000~2500,5227,20%~25%,61,43,904,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240423,1000~2500,8403,15%~20%,48,39,723,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240424,2500~5000,20946,15%~20%,81,15,542,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240425,2500~5000,23219,15%~20%,78,1,729,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240426,2500~5000,16834,20%~25%,83,0,1008,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240427,2500~5000,13094,20%~25%,99,1,715,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240428,2500~5000,21707,20%~25%,92,3,711,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240429,2500~5000,19959,20%~25%,100,3,947,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240430,5000~7500,26662,20%~25%,114,3,1155,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240501,5000~7500,23805,20%~25%,114,2,1549,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240502,2500~5000,17207,20%~25%,106,7,2558,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240503,2500~5000,21117,15%~20%,141,7,2089,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240504,5000~7500,23475,25%~30%,114,2,2278,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240505,5000~7500,22911,25%~30%,105,10,2488,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240506,2500~5000,15696,25%~30%,166,5,3061,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240507,5000~7500,19975,30%+,170,12,2933,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240508,5000~7500,17847,30%+,173,13,2818,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240509,2500~5000,13109,30%+,201,10,2283,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240510,5000~7500,16270,30%+,185,5,266,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240511,7500~1w,35894,25%~30%,204,9,5100,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240512,7500~1w,30705,25%~30%,207,7,8836,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240513,5000~7500,22883,30%+,212,3,7014,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240514,5000~7500,20533,30%+,228,4,7506,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240515,5000~7500,18214,30%+,234,4,5469,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240516,2500~5000,13268,30%+,216,3,4411,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240517,1w~2.5w,28032,30%+,203,2,3839,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240518,1w~2.5w,27899,30%+,92,5,3884,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240519,1w~2.5w,33848,30%+,75,6,4853,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240520,1w~2.5w,35497,30%+,62,4,5298,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240521,7500~1w,29401,25%~30%,43,8,3601,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240522,5000~7500,16280,30%+,34,6,3571,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240523,7500~1w,13361,30%+,31,5,2428,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240524,5000~7500,12868,30%+,25,7,2473,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240525,5000~7500,12824,30%+,21,8,2241,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
20240526,7500~1w,16700,30%+,12,2,3721,达多多_商品总体销量历史_ 【7.7元3个装】实木多功能衣架无痕木质防坠落橱柜内衣晾晒架 
