日期,销量,浏览量,转化率,视频个数,直播个数,热推达人数,filename
20240301,1000~2500,10260,10%~15%,36,10,254,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240302,1000~2500,11114,10%~15%,30,9,214,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240303,1000~2500,10629,15%~20%,30,12,225,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240304,1000~2500,9048,15%~20%,29,21,352,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240305,1000~2500,12144,10%~15%,25,16,461,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240306,1000~2500,10542,10%~15%,22,9,446,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240307,750~1000,7798,10%~15%,23,11,340,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240308,250~500,7767,5%~10%,17,7,173,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240309,750~1000,15450,5%~10%,18,6,245,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240310,1000~2500,20382,5%~10%,18,4,258,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240311,1000~2500,10767,10%~15%,15,7,293,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240312,1000~2500,15371,10%~15%,22,11,196,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240313,1000~2500,20494,10%~15%,19,6,141,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240314,1000~2500,20905,5%~10%,20,9,158,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240315,2500~5000,35485,5%~10%,14,8,136,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240316,1000~2500,22219,5%~10%,15,6,183,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240317,1000~2500,19972,5%~10%,12,6,227,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240318,1000~2500,17211,5%~10%,16,12,225,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240319,1000~2500,19804,5%~10%,18,10,260,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240320,1000~2500,19566,5%~10%,15,9,243,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240321,500~750,7056,5%~10%,20,6,211,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240322,500~750,6828,10%~15%,17,7,171,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240323,750~1000,8249,10%~15%,22,5,147,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240324,1000~2500,12684,5%~10%,24,8,146,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240325,750~1000,10347,5%~10%,23,6,187,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240326,750~1000,9252,10%~15%,24,5,164,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240327,1000~2500,7490,10%~15%,22,5,177,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240328,500~750,6338,10%~15%,27,8,112,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240329,750~1000,8813,5%~10%,21,7,118,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240330,750~1000,6958,10%~15%,24,7,110,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240331,500~750,7911,5%~10%,21,3,141,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240401,1000~2500,19977,5%~10%,23,5,109,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240402,1000~2500,18237,5%~10%,19,2,98,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240403,1000~2500,21502,5%~10%,26,2,96,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240404,1000~2500,17596,5%~10%,26,4,104,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240405,1000~2500,13962,5%~10%,20,6,87,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240406,1000~2500,13289,10%~15%,21,3,110,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240407,750~1000,14482,5%~10%,21,3,110,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240408,1000~2500,19112,5%~10%,24,4,97,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240409,1000~2500,25672,5%~10%,20,4,104,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240410,1000~2500,20662,5%~10%,23,5,111,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240411,1000~2500,16770,5%~10%,24,7,105,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240412,750~1000,12017,5%~10%,25,8,128,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240413,750~1000,8040,5%~10%,26,7,129,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240414,750~1000,10897,5%~10%,17,7,106,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240415,1000~2500,17547,5%~10%,19,3,107,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240416,750~1000,13347,5%~10%,25,9,130,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240417,750~1000,13983,5%~10%,17,6,128,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240418,500~750,10554,5%~10%,8,1,118,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240419,500~750,7733,5%~10%,12,4,113,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240420,500~750,8214,5%~10%,8,3,82,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240421,500~750,7779,5%~10%,9,2,78,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240422,750~1000,9284,5%~10%,10,9,90,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240423,500~750,6744,5%~10%,3,3,85,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240424,500~750,6299,5%~10%,11,1,96,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240425,500~750,6854,5%~10%,7,0,81,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
20240426,500~750,4948,10%~15%,5,0,103,达多多_商品总体销量历史_ 【3.9元到手20包】干酵母家用馒头发面烘焙高活性发酵耐高糖5克_袋
